ID,credit_limit,education,gender,marital_status,avg_bill_amt,avg_util_rate,default_count
1,20000,College,F,Married,1284,0.0642,2
2,120000,College,F,Single,2846.1666667,0.0237180556,2
3,90000,College,F,Single,16942.166667,0.1882462963,0
4,50000,College,F,Married,38555.666667,0.7711133333,0
5,50000,College,M,Married,18223.166667,0.3644633333,0
6,50000,Graduate School,M,Single,39685.666667,0.7937133333,0
7,500000,Graduate School,M,Single,454099.16667,0.9081983333,0
8,100000,College,F,Single,2247.6666667,0.0224766667,0
9,140000,High School,F,Married,10868.666667,0.0776333333,1
10,20000,High School,M,Single,4486.5,0.224325,0
11,200000,High School,F,Single,5744.5,0.0287225,1
12,260000,Graduate School,F,Single,14728.166667,0.0566467949,1
13,630000,College,F,Single,6834.5,0.0108484127,0
14,70000,College,M,Single,56447.5,0.8063928571,4
15,250000,Graduate School,M,Single,62265.166667,0.2490606667,0
16,50000,High School,F,Other,32736,0.65472,2
17,20000,Graduate School,M,Single,17693.5,0.884675,4
18,320000,Graduate School,M,Married,161002.33333,0.5031322917,0
19,360000,Graduate School,F,Married,0,0,1
20,180000,Graduate School,F,Single,0,0,1
21,130000,High School,F,Single,20647.166667,0.158824359,0
22,120000,College,F,Married,316,0.0026333333,0
23,70000,College,F,Single,44245.833333,0.6320833333,4
24,450000,Graduate School,F,Married,4494.1666667,0.009987037,0
25,90000,Graduate School,M,Single,5310.6666667,0.0590074074,0
26,50000,High School,M,Single,35715.833333,0.7143166667,0
27,60000,Graduate School,M,Single,-65.66666667,-0.001094444,1
28,50000,High School,F,Single,18711.333333,0.3742266667,0
29,50000,High School,F,Married,6701.3333333,0.1340266667,0
30,50000,Graduate School,M,Single,16180.333333,0.3236066667,0
31,230000,Graduate School,F,Single,18957.666667,0.0824246377,0
32,50000,College,M,Single,25311.5,0.50623,1
33,100000,Graduate School,M,Single,82539.5,0.825395,0
34,500000,College,F,Married,20957.333333,0.0419146667,0
35,500000,Graduate School,M,Married,9719.6666667,0.0194393333,0
36,160000,Graduate School,M,Single,4218.6666667,0.0263666667,0
37,280000,College,M,Married,178329.5,0.6368910714,0
38,60000,College,F,Single,5379.8333333,0.0896638889,0
39,50000,Graduate School,M,Single,130,0.0026,1
40,280000,Graduate School,M,Single,8607.1666667,0.030739881,1
41,360000,Graduate School,M,Single,275125.16667,0.7642365741,0
42,70000,Graduate School,F,Single,65476,0.9353714286,0
43,10000,College,M,Single,3793.5,0.37935,0
44,140000,College,F,Married,64189,0.4584928571,0
45,40000,Graduate School,F,Single,24530.833333,0.6132708333,1
46,210000,Graduate School,M,Single,0,0,0
